Month,PUManhattan,PUBronx,PUQueens,PUStatenIsland,PUBrooklyn,PUEWR,DOManhattan,DOBronx,DOQueens,DOStatenIsland,DOBrooklyn,DOEWR
1,5846105,14073,425439,354,71164,755,5701034,45650,333211,1630,256453,12148
2,5797819,11283,377988,262,67973,621,5635952,41115,308598,1452,251155,11461
3,2754457,9353,182145,190,39846,339,2655417,29045,160966,873,131642,5235
4,212996,5422,10084,119,7226,9,198227,11201,12870,223,12917,86
5,294100,11794,20023,339,18715,13,271410,19906,23467,922,23467,176
6,481235,11283,34434,262,18462,25,455647,19347,32722,262,34827,358
7,708108,13145,46896,224,23926,35,675714,24419,44533,506,46176,546
8,896112,15020,59210,201,28630,65,859505,27802,52896,494,56817,729
9,1216346,13966,60697,253,29660,45,1174640,29446,56528,576,67875,749
10,1540232,15208,68864,363,32049,61,1490984,31353,65666,827,77728,985
11,1381699,13368,62910,369,29885,75,1335453,28069,60637,738,70219,1042
12,1334053,14900,63154,395,28390,72,1292786,29317,60007,395,28390,1058
